block_size_w0,snr_10
0,5.4023e-07
0.32316,6.37004e-07
0.448833,6.70507e-07
0.628366,7.58279e-07
0.897666,8.54272e-07
1.43627,1.0917e-06
1.79533,1.29912e-06
2.693,1.71633e-06
3.59066,1.83755e-06
4.12926,2.30754e-06
