block_size_w0,snr_2
0,0.00434089
0.32316,0.0048649
0.448833,0.00497952
0.628366,0.00516808
0.897666,0.00522406
1.43627,0.00483172
1.79533,0.00416265
2.693,0.00233102
3.59066,0.00107263
4.12926,0.000994055
