sxmatrix[][0],sxmatrix[][1],sxmatrix[][2],sxmatrix[][3],sxmatrix[][4]
0,1,2,3,4
8.0101e-30,2.60738e-30,1.78572e-30,1.96114e-30,3.71644e-30
8.57983e-30,2.6439e-30,1.70588e-30,1.97102e-30,3.76645e-30
8.41726e-30,2.81571e-30,1.87455e-30,1.98679e-30,3.83218e-30
8.51085e-30,2.62533e-30,1.87715e-30,2.00079e-30,3.88307e-30
