xw0,snr
-3.59054,2.42261e-08
-3.2315,2.42452e-08
-2.87246,2.41895e-08
-2.24401,2.23182e-08
-1.79519,2.08027e-08
-1.43615,2.0657e-08
-1.07711,2.09073e-08
-0.718075,2.25679e-08
-0.44868,2.51134e-08
0,2.94057e-08
0.359038,2.70757e-08
0.718075,2.29553e-08
1.07711,2.05959e-08
1.43615,1.99774e-08
1.79519,2.05811e-08
2.24432,2.21998e-08
2.69315,2.36764e-08
3.23178,2.44327e-08
3.59082,2.44327e-08
