sxmatrix[][0],sxmatrix[][1],sxmatrix[][2],sxmatrix[][3],sxmatrix[][4]
0,1,2,3,4
1.88128e-29,4.16346e-30,2.3462e-30,1.70789e-30,2.19577e-30
1.93203e-29,4.24444e-30,2.13666e-30,1.38007e-30,2.01354e-30
1.97659e-29,4.34821e-30,2.37032e-30,1.54628e-30,1.93922e-30
1.95209e-29,4.24939e-30,2.12258e-30,1.72948e-30,1.55697e-30
