sxmatrix[][0],sxmatrix[][1],sxmatrix[][2],sxmatrix[][3],sxmatrix[][4]
0,1,2,3,4
1.13919e-29,3.90245e-30,3.28557e-30,3.98476e-30,7.80873e-30
1.20233e-29,3.85854e-30,3.19151e-30,3.73433e-30,7.73315e-30
1.17302e-29,3.89318e-30,3.18453e-30,3.59815e-30,7.35859e-30
1.19833e-29,3.77838e-30,3.39266e-30,3.66542e-30,7.09824e-30
